S1A1(5);S2A1(5);S1G1(5);S2G1(5)
-53 dBm;-71 dBm;-53 dBm;-79 dBm
-72 dBm;-52 dBm;-63 dBm;-52 dBm
-53 dBm;-61 dBm;-52 dBm;-62 dBm
-51 dBm;-71 dBm;-79 dBm;-51 dBm
-51 dBm;-52 dBm;-52 dBm;-80 dBm
-50 dBm;-61 dBm;-80 dBm;-52 dBm
-50 dBm;-53 dBm;-53 dBm;-61 dBm
-51 dBm;-71 dBm;-64 dBm;-52 dBm
-50 dBm;-53 dBm;-79 dBm;-52 dBm
-52 dBm;-61 dBm;-63 dBm;-53 dBm
-50 dBm;-52 dBm;-52 dBm;-54 dBm
-63 dBm;-72 dBm;-52 dBm;-52 dBm
-52 dBm;-51 dBm;-80 dBm;-80 dBm
-73 dBm;-60 dBm;-52 dBm;-53 dBm
-52 dBm;-53 dBm;-63 dBm;-61 dBm
-53 dBm;-73 dBm;-53 dBm;-52 dBm
-52 dBm;-52 dBm;-80 dBm;-52 dBm
-52 dBm;-61 dBm;-52 dBm;-79 dBm
-73 dBm;-61 dBm;-63 dBm;-51 dBm
-53 dBm;-61 dBm;-63 dBm;-61 dBm
-52 dBm;-54 dBm;-52 dBm;-53 dBm
-53 dBm;-53 dBm;-80 dBm;-80 dBm
-53 dBm;-53 dBm;-79 dBm;-53 dBm
-53 dBm;-73 dBm;-53 dBm;-61 dBm
-52 dBm;-53 dBm;-52 dBm;-53 dBm
-53 dBm;-62 dBm;-53 dBm;-53 dBm
-53 dBm;-54 dBm;-52 dBm;-53 dBm
-51 dBm;-73 dBm;-52 dBm;-53 dBm
-72 dBm;-53 dBm;-52 dBm;-52 dBm
-52 dBm;-61 dBm;-53 dBm;-51 dBm
-63 dBm;-52 dBm;-80 dBm;-80 dBm
-52 dBm;-72 dBm;-53 dBm;-52 dBm
-53 dBm;-54 dBm;-63 dBm;-61 dBm
-52 dBm;-62 dBm;-52 dBm;-53 dBm
-52 dBm;-52 dBm;-79 dBm;-80 dBm
-53 dBm;-53 dBm;-51 dBm;-51 dBm
-73 dBm;-53 dBm;-52 dBm;-61 dBm
-63 dBm;-51 dBm;-53 dBm;-52 dBm
-52 dBm;-52 dBm;-79 dBm;-79 dBm
-73 dBm;-71 dBm;-51 dBm;-53 dBm
-52 dBm;-54 dBm;-63 dBm;-61 dBm
-53 dBm;-62 dBm;-52 dBm;-53 dBm
-72 dBm;-52 dBm;-52 dBm;-81 dBm
-53 dBm;-71 dBm;-63 dBm;-53 dBm
-52 dBm;-53 dBm;-79 dBm;-61 dBm
-63 dBm;-62 dBm;-53 dBm;-54 dBm
-71 dBm;-52 dBm;-63 dBm;-80 dBm
-53 dBm;-71 dBm;-79 dBm;-54 dBm
-63 dBm;-51 dBm;-52 dBm;-62 dBm
-71 dBm;-62 dBm;-63 dBm;-53 dBm
-53 dBm;-52 dBm;-52 dBm;-79 dBm
-52 dBm;-52 dBm;-80 dBm;-52 dBm
-63 dBm;-61 dBm;-52 dBm;-62 dBm
-53 dBm;-53 dBm;-52 dBm;-53 dBm
-52 dBm;-53 dBm;-52 dBm;-80 dBm
-52 dBm;-52 dBm;-53 dBm;-53 dBm
-51 dBm;-54 dBm;-54 dBm;-61 dBm
-52 dBm;-52 dBm;-63 dBm;-62 dBm
-71 dBm;-71 dBm;-79 dBm;-61 dBm
-53 dBm;-53 dBm;-53 dBm;-80 dBm
-62 dBm;-51 dBm;-52 dBm;-52 dBm
-52 dBm;-71 dBm;-64 dBm;-61 dBm
-71 dBm;-52 dBm;-80 dBm;-61 dBm
-54 dBm;-60 dBm;-52 dBm;-79 dBm
-63 dBm;-52 dBm;-63 dBm;-53 dBm
-52 dBm;-71 dBm;-52 dBm;-61 dBm
-71 dBm;-53 dBm;-80 dBm;-79 dBm
-53 dBm;-61 dBm;-52 dBm;-52 dBm
-63 dBm;-53 dBm;-53 dBm;-60 dBm
-53 dBm;-71 dBm;-52 dBm;-61 dBm
-71 dBm;-52 dBm;-63 dBm;-60 dBm
-53 dBm;-61 dBm;-63 dBm;-59 dBm
-51 dBm;-52 dBm;-52 dBm;-52 dBm
-71 dBm;-71 dBm;-79 dBm;-79 dBm
-52 dBm;-52 dBm;-54 dBm;-53 dBm
-63 dBm;-61 dBm;-63 dBm;-62 dBm
-52 dBm;-51 dBm;-79 dBm;-52 dBm
-73 dBm;-71 dBm;-63 dBm;-79 dBm
-64 dBm;-54 dBm;-53 dBm;-52 dBm
-54 dBm;-61 dBm;-52 dBm;-62 dBm
-53 dBm;-52 dBm;-51 dBm;-80 dBm
-73 dBm;-52 dBm;-51 dBm;-52 dBm
-52 dBm;-71 dBm;-53 dBm;-60 dBm
-51 dBm;-51 dBm;-53 dBm;-52 dBm
-52 dBm;-60 dBm;-63 dBm;-79 dBm
-52 dBm;-61 dBm;-79 dBm;-52 dBm
-53 dBm;-61 dBm;-54 dBm;-61 dBm
-64 dBm;-51 dBm;-62 dBm;-52 dBm
-73 dBm;-71 dBm;-53 dBm;-62 dBm
-52 dBm;-52 dBm;-53 dBm;-79 dBm
-73 dBm;-61 dBm;-81 dBm;-51 dBm
-52 dBm;-52 dBm;-52 dBm;-62 dBm
-71 dBm;-71 dBm;-63 dBm;-61 dBm
-54 dBm;-52 dBm;-52 dBm;-61 dBm
-63 dBm;-60 dBm;-52 dBm;-51 dBm
-71 dBm;-61 dBm;-52 dBm;-52 dBm
-52 dBm;-61 dBm;-53 dBm;-53 dBm
-63 dBm;-61 dBm;-52 dBm;-79 dBm
-52 dBm;-61 dBm;-79 dBm;-79 dBm
-71 dBm;-51 dBm;-52 dBm;-52 dBm
-52 dBm;-52 dBm;-63 dBm;-52 dBm
-63 dBm;-71 dBm;-79 dBm;-61 dBm
-63 dBm;-71 dBm;-52 dBm;-52 dBm
-52 dBm;-52 dBm;-54 dBm;-80 dBm
-71 dBm;-61 dBm;-52 dBm;-52 dBm
-71 dBm;-61 dBm;-53 dBm;-61 dBm
-53 dBm;-54 dBm;-53 dBm;-53 dBm
-52 dBm;-71 dBm;-53 dBm;-80 dBm
-63 dBm;-52 dBm;-52 dBm;-53 dBm
-71 dBm;-60 dBm;-53 dBm;-61 dBm
-52 dBm;-61 dBm;-53 dBm;-61 dBm
-63 dBm;-53 dBm;-52 dBm;-53 dBm
-52 dBm;-51 dBm;-52 dBm;-52 dBm
-71 dBm;-51 dBm;-52 dBm;-62 dBm
-52 dBm;-52 dBm;-80 dBm;-52 dBm
-53 dBm;-71 dBm;-51 dBm;-61 dBm
-51 dBm;-53 dBm;-52 dBm;-79 dBm
-63 dBm;-53 dBm;-80 dBm;-52 dBm
-52 dBm;-71 dBm;-53 dBm;-61 dBm
-71 dBm;-54 dBm;-52 dBm;-54 dBm
-52 dBm;-61 dBm;-64 dBm;-80 dBm
-71 dBm;-52 dBm;-53 dBm;-52 dBm
-53 dBm;-71 dBm;-80 dBm;-60 dBm
-71 dBm;-51 dBm;-52 dBm;-80 dBm
-63 dBm;-60 dBm;-53 dBm;-52 dBm
-53 dBm;-61 dBm;-63 dBm;-60 dBm
-52 dBm;-52 dBm;-50 dBm;-61 dBm
-63 dBm;-71 dBm;-52 dBm;-54 dBm
-53 dBm;-71 dBm;-52 dBm;-52 dBm
-52 dBm;-71 dBm;-51 dBm;-79 dBm
-52 dBm;-53 dBm;-51 dBm;-51 dBm
-71 dBm;-60 dBm;-50 dBm;-53 dBm
-51 dBm;-52 dBm;-51 dBm;-60 dBm
-53 dBm;-71 dBm;-51 dBm;-78 dBm
-53 dBm;-52 dBm;-50 dBm;-53 dBm
-63 dBm;-61 dBm;-79 dBm;-61 dBm
-71 dBm;-61 dBm;-53 dBm;-53 dBm
-53 dBm;-52 dBm;-52 dBm;-54 dBm
-53 dBm;-71 dBm;-52 dBm;-61 dBm
-51 dBm;-53 dBm;-53 dBm;-51 dBm
-63 dBm;-61 dBm;-79 dBm;-79 dBm
-53 dBm;-61 dBm;-54 dBm;-53 dBm
-52 dBm;-60 dBm;-63 dBm;-61 dBm
-72 dBm;-52 dBm;-52 dBm;-79 dBm
-51 dBm;-71 dBm;-53 dBm;-52 dBm
-52 dBm;-53 dBm;-52 dBm;-60 dBm
-51 dBm;-61 dBm;-52 dBm;-80 dBm
-49 dBm;-53 dBm;-52 dBm;-52 dBm
-50 dBm;-52 dBm;-79 dBm;-60 dBm
-52 dBm;-53 dBm;-52 dBm;-79 dBm
-52 dBm;-53 dBm;-63 dBm;-53 dBm
-52 dBm;-53 dBm;-53 dBm;-60 dBm
-64 dBm;-61 dBm;-79 dBm;-53 dBm
-71 dBm;-52 dBm;-52 dBm;-52 dBm
-52 dBm;-71 dBm;-52 dBm;-62 dBm
-63 dBm;-52 dBm;-79 dBm;-52 dBm
-52 dBm;-61 dBm;-63 dBm;-80 dBm
-52 dBm;-52 dBm;-53 dBm;-52 dBm
-52 dBm;-71 dBm;-53 dBm;-61 dBm
-51 dBm;-53 dBm;-79 dBm;-52 dBm
-50 dBm;-61 dBm;-54 dBm;-52 dBm
-52 dBm;-52 dBm;-53 dBm;-61 dBm
-51 dBm;-72 dBm;-79 dBm;-60 dBm
-50 dBm;-53 dBm;-52 dBm;-80 dBm
-50 dBm;-61 dBm;-63 dBm;-53 dBm
-63 dBm;-52 dBm;-52 dBm;-61 dBm
-71 dBm;-72 dBm;-79 dBm;-53 dBm
-53 dBm;-52 dBm;-52 dBm;-79 dBm
-51 dBm;-61 dBm;-63 dBm;-51 dBm
-63 dBm;-61 dBm;-51 dBm;-61 dBm
-53 dBm;-49 dBm;-79 dBm;-53 dBm
-51 dBm;-52 dBm;-53 dBm;-60 dBm
-53 dBm;-72 dBm;-63 dBm;-52 dBm
-53 dBm;-52 dBm;-53 dBm;-80 dBm
-63 dBm;-61 dBm;-79 dBm;-52 dBm
-71 dBm;-52 dBm;-52 dBm;-61 dBm
-52 dBm;-72 dBm;-52 dBm;-53 dBm
-53 dBm;-52 dBm;-53 dBm;-80 dBm
-63 dBm;-61 dBm;-54 dBm;-52 dBm
-72 dBm;-52 dBm;-52 dBm;-59 dBm
-52 dBm;-72 dBm;-79 dBm;-79 dBm
-63 dBm;-53 dBm;-53 dBm;-52 dBm
-52 dBm;-61 dBm;-63 dBm;-61 dBm
-53 dBm;-52 dBm;-53 dBm;-53 dBm
-63 dBm;-73 dBm;-52 dBm;-80 dBm
-71 dBm;-51 dBm;-63 dBm;-54 dBm
-53 dBm;-61 dBm;-52 dBm;-61 dBm
-63 dBm;-61 dBm;-79 dBm;-53 dBm
-71 dBm;-61 dBm;-63 dBm;-53 dBm
-52 dBm;-52 dBm;-51 dBm;-52 dBm
-63 dBm;-72 dBm;-51 dBm;-52 dBm
-73 dBm;-52 dBm;-50 dBm;-52 dBm
-52 dBm;-61 dBm;-51 dBm;-80 dBm
-63 dBm;-53 dBm;-50 dBm;-80 dBm
-52 dBm;-72 dBm;-51 dBm;-52 dBm
-72 dBm;-52 dBm;-52 dBm;-60 dBm
-52 dBm;-60 dBm;-52 dBm;-53 dBm
-63 dBm;-51 dBm;-50 dBm;-51 dBm
-51 dBm;-72 dBm;-52 dBm;-61 dBm
-52 dBm;-72 dBm;-79 dBm;-58 dBm
-64 dBm;-53 dBm;-63 dBm;-51 dBm
-72 dBm;-52 dBm;-52 dBm;-80 dBm
-53 dBm;-60 dBm;-79 dBm;-53 dBm
-52 dBm;-53 dBm;-52 dBm;-53 dBm
-53 dBm;-72 dBm;-63 dBm;-61 dBm
-52 dBm;-53 dBm;-52 dBm;-53 dBm
-52 dBm;-60 dBm;-79 dBm;-52 dBm
-64 dBm;-53 dBm;-52 dBm;-52 dBm
-53 dBm;-72 dBm;-63 dBm;-52 dBm
-72 dBm;-53 dBm;-52 dBm;-78 dBm
-52 dBm;-61 dBm;-54 dBm;-52 dBm
-53 dBm;-61 dBm;-80 dBm;-60 dBm
-51 dBm;-52 dBm;-63 dBm;-79 dBm
-52 dBm;-53 dBm;-52 dBm;-52 dBm
-53 dBm;-72 dBm;-78 dBm;-60 dBm
-63 dBm;-52 dBm;-52 dBm;-53 dBm
-63 dBm;-61 dBm;-51 dBm;-80 dBm
-52 dBm;-52 dBm;-79 dBm;-53 dBm
-63 dBm;-72 dBm;-53 dBm;-61 dBm
-72 dBm;-52 dBm;-63 dBm;-52 dBm
-52 dBm;-60 dBm;-52 dBm;-80 dBm
-63 dBm;-53 dBm;-52 dBm;-51 dBm
-73 dBm;-72 dBm;-63 dBm;-61 dBm
-51 dBm;-48 dBm;-52 dBm;-51 dBm
-63 dBm;-47 dBm;-52 dBm;-79 dBm
-53 dBm;-52 dBm;-80 dBm;-52 dBm
-53 dBm;-61 dBm;-52 dBm;-61 dBm
-72 dBm;-53 dBm;-53 dBm;-53 dBm
-51 dBm;-51 dBm;-63 dBm;-52 dBm
-53 dBm;-71 dBm;-52 dBm;-61 dBm
-52 dBm;-52 dBm;-53 dBm;-52 dBm
-53 dBm;-60 dBm;-52 dBm;-53 dBm
-53 dBm;-52 dBm;-53 dBm;-79 dBm
-53 dBm;-71 dBm;-53 dBm;-54 dBm
-63 dBm;-53 dBm;-53 dBm;-52 dBm
-53 dBm;-60 dBm;-79 dBm;-61 dBm
-73 dBm;-52 dBm;-53 dBm;-53 dBm
-52 dBm;-71 dBm;-62 dBm;-80 dBm
-53 dBm;-53 dBm;-63 dBm;-52 dBm
-53 dBm;-61 dBm;-52 dBm;-58 dBm
-52 dBm;-53 dBm;-79 dBm;-80 dBm
-53 dBm;-71 dBm;-49 dBm;-52 dBm
-63 dBm;-54 dBm;-51 dBm;-61 dBm
-51 dBm;-60 dBm;-53 dBm;-52 dBm
-52 dBm;-53 dBm;-51 dBm;-80 dBm
-52 dBm;-60 dBm;-52 dBm;-51 dBm
-51 dBm;-53 dBm;-49 dBm;-61 dBm
-52 dBm;-52 dBm;-51 dBm;-51 dBm
-73 dBm;-52 dBm;-49 dBm;-53 dBm
-52 dBm;-52 dBm;-63 dBm;-79 dBm
-63 dBm;-53 dBm;-53 dBm;-79 dBm
-51 dBm;-73 dBm;-52 dBm;-79 dBm
-72 dBm;-53 dBm;-53 dBm;-53 dBm
-63 dBm;-61 dBm;-80 dBm;-61 dBm
-53 dBm;-52 dBm;-52 dBm;-52 dBm
-53 dBm;-52 dBm;-63 dBm;-80 dBm
-72 dBm;-61 dBm;-52 dBm;-52 dBm
-52 dBm;-52 dBm;-53 dBm;-61 dBm
-73 dBm;-72 dBm;-79 dBm;-53 dBm
-63 dBm;-53 dBm;-52 dBm;-80 dBm
-71 dBm;-60 dBm;-52 dBm;-52 dBm
-53 dBm;-52 dBm;-80 dBm;-60 dBm
-71 dBm;-53 dBm;-51 dBm;-80 dBm
-53 dBm;-61 dBm;-63 dBm;-53 dBm
-71 dBm;-52 dBm;-54 dBm;-59 dBm
-71 dBm;-72 dBm;-79 dBm;-53 dBm
-63 dBm;-50 dBm;-52 dBm;-52 dBm
-51 dBm;-51 dBm;-51 dBm;-53 dBm
-52 dBm;-60 dBm;-63 dBm;-52 dBm
-51 dBm;-52 dBm;-53 dBm;-51 dBm
-54 dBm;-52 dBm;-53 dBm;-52 dBm
-54 dBm;-72 dBm;-52 dBm;-52 dBm
-72 dBm;-52 dBm;-52 dBm;-79 dBm
-51 dBm;-59 dBm;-53 dBm;-53 dBm
-63 dBm;-61 dBm;-51 dBm;-60 dBm
-72 dBm;-61 dBm;-53 dBm;-52 dBm
-53 dBm;-51 dBm;-63 dBm;-53 dBm
-52 dBm;-72 dBm;-52 dBm;-51 dBm
-53 dBm;-52 dBm;-53 dBm;-52 dBm
-62 dBm;-52 dBm;-51 dBm;-53 dBm
-51 dBm;-72 dBm;-53 dBm;-51 dBm
-52 dBm;-51 dBm;-53 dBm;-80 dBm
-52 dBm;-61 dBm;-52 dBm;-53 dBm
-51 dBm;-53 dBm;-63 dBm;-60 dBm
-49 dBm;-54 dBm;-51 dBm;-53 dBm
-52 dBm;-61 dBm;-52 dBm;-80 dBm
-51 dBm;-61 dBm;-53 dBm;-52 dBm
-53 dBm;-53 dBm;-53 dBm;-60 dBm
-49 dBm;-73 dBm;-52 dBm;-52 dBm
-49 dBm;-53 dBm;-79 dBm;-53 dBm
-50 dBm;-62 dBm;-52 dBm;-61 dBm
-51 dBm;-52 dBm;-63 dBm;-54 dBm
-63 dBm;-53 dBm;-52 dBm;-80 dBm
-52 dBm;-54 dBm;-52 dBm;-53 dBm
-72 dBm;-52 dBm;-52 dBm;-60 dBm
-53 dBm;-52 dBm;-54 dBm;-80 dBm
-63 dBm;-73 dBm;-53 dBm;-53 dBm
-53 dBm;-52 dBm;-53 dBm;-61 dBm
-53 dBm;-60 dBm;-53 dBm;-52 dBm
-52 dBm;-52 dBm;-52 dBm;-79 dBm
-53 dBm;-72 dBm;-63 dBm;-52 dBm
-72 dBm;-52 dBm;-50 dBm;-60 dBm
-53 dBm;-61 dBm;-50 dBm;-52 dBm
-63 dBm;-53 dBm;-63 dBm;-53 dBm
-73 dBm;-72 dBm;-53 dBm;-60 dBm
-52 dBm;-52 dBm;-80 dBm;-52 dBm
-63 dBm;-60 dBm;-53 dBm;-53 dBm
-53 dBm;-49 dBm;-79 dBm;-53 dBm
-73 dBm;-60 dBm;-53 dBm;-79 dBm
-53 dBm;-52 dBm;-63 dBm;-53 dBm
-53 dBm;-53 dBm;-80 dBm;-61 dBm
-63 dBm;-52 dBm;-53 dBm;-53 dBm
-54 dBm;-61 dBm;-53 dBm;-52 dBm
-63 dBm;-52 dBm;-53 dBm;-61 dBm
-52 dBm;-61 dBm;-80 dBm;-53 dBm
-63 dBm;-72 dBm;-52 dBm;-54 dBm
-72 dBm;-52 dBm;-53 dBm;-80 dBm
-52 dBm;-60 dBm;-52 dBm;-80 dBm
-63 dBm;-52 dBm;-63 dBm;-52 dBm
-54 dBm;-52 dBm;-53 dBm;-60 dBm
-52 dBm;-60 dBm;-79 dBm;-52 dBm
-54 dBm;-72 dBm;-63 dBm;-79 dBm
-63 dBm;-52 dBm;-51 dBm;-51 dBm
-49 dBm;-60 dBm;-80 dBm;-60 dBm
-69 dBm;-72 dBm;-63 dBm;-52 dBm
-52 dBm;-53 dBm;-52 dBm;-80 dBm
-72 dBm;-61 dBm;-53 dBm;-52 dBm
-52 dBm;-53 dBm;-53 dBm;-61 dBm
-63 dBm;-72 dBm;-53 dBm;-52 dBm
-52 dBm;-51 dBm;-52 dBm;-79 dBm
-53 dBm;-61 dBm;-52 dBm;-52 dBm
-72 dBm;-53 dBm;-52 dBm;-61 dBm
-53 dBm;-53 dBm;-63 dBm;-62 dBm
-64 dBm;-61 dBm;-52 dBm;-80 dBm
-53 dBm;-53 dBm;-53 dBm;-52 dBm
-52 dBm;-60 dBm;-80 dBm;-60 dBm
-52 dBm;-53 dBm;-53 dBm;-53 dBm
-52 dBm;-61 dBm;-63 dBm;-80 dBm
-54 dBm;-73 dBm;-53 dBm;-52 dBm
-72 dBm;-54 dBm;-79 dBm;-61 dBm
-52 dBm;-60 dBm;-52 dBm;-52 dBm
-53 dBm;-60 dBm;-52 dBm;-80 dBm
-53 dBm;-60 dBm;-63 dBm;-52 dBm
-52 dBm;-53 dBm;-52 dBm;-60 dBm
-63 dBm;-51 dBm;-51 dBm;-53 dBm
-52 dBm;-60 dBm;-53 dBm;-52 dBm
-72 dBm;-72 dBm;-52 dBm;-52 dBm
-53 dBm;-54 dBm;-52 dBm;-54 dBm
-53 dBm;-61 dBm;-52 dBm;-51 dBm
-53 dBm;-73 dBm;-80 dBm;-61 dBm
-63 dBm;-52 dBm;-53 dBm;-52 dBm
-52 dBm;-61 dBm;-64 dBm;-52 dBm
-72 dBm;-52 dBm;-52 dBm;-54 dBm
-52 dBm;-53 dBm;-80 dBm;-54 dBm
-64 dBm;-72 dBm;-80 dBm;-54 dBm
-53 dBm;-52 dBm;-79 dBm;-53 dBm
-72 dBm;-61 dBm;-79 dBm;-54 dBm
-52 dBm;-51 dBm;-52 dBm;-80 dBm
-62 dBm;-50 dBm;-53 dBm;-54 dBm
-53 dBm;-60 dBm;-52 dBm;-58 dBm
-72 dBm;-53 dBm;-80 dBm;-79 dBm
-53 dBm;-61 dBm;-62 dBm;-79 dBm
-63 dBm;-52 dBm;-53 dBm;-79 dBm
-52 dBm;-60 dBm;-54 dBm;-52 dBm
-52 dBm;-73 dBm;-54 dBm;-61 dBm
-53 dBm;-52 dBm;-80 dBm;-53 dBm
-63 dBm;-73 dBm;-50 dBm;-80 dBm
-53 dBm;-51 dBm;-63 dBm;-52 dBm
-54 dBm;-53 dBm;-63 dBm;-61 dBm
-63 dBm;-61 dBm;-54 dBm;-52 dBm
-53 dBm;-52 dBm;-79 dBm;-80 dBm
-52 dBm;-51 dBm;-52 dBm;-51 dBm
-54 dBm;-52 dBm;-63 dBm;-51 dBm
-52 dBm;-53 dBm;-52 dBm;-61 dBm
-53 dBm;-72 dBm;-80 dBm;-79 dBm
-53 dBm;-53 dBm;-49 dBm;-53 dBm
-51 dBm;-60 dBm;-50 dBm;-61 dBm
-63 dBm;-72 dBm;-52 dBm;-53 dBm
-54 dBm;-52 dBm;-49 dBm;-52 dBm
-72 dBm;-61 dBm;-52 dBm;-54 dBm
-53 dBm;-72 dBm;-51 dBm;-54 dBm
-63 dBm;-53 dBm;-52 dBm;-52 dBm
-53 dBm;-60 dBm;-63 dBm;-80 dBm
-72 dBm;-52 dBm;-53 dBm;-52 dBm
-53 dBm;-53 dBm;-79 dBm;-61 dBm
-52 dBm;-53 dBm;-53 dBm;-54 dBm
-63 dBm;-53 dBm;-63 dBm;-79 dBm
-53 dBm;-53 dBm;-52 dBm;-52 dBm
-53 dBm;-72 dBm;-52 dBm;-61 dBm
-52 dBm;-53 dBm;-79 dBm;-53 dBm
-52 dBm;-61 dBm;-52 dBm;-80 dBm
-54 dBm;-52 dBm;-63 dBm;-53 dBm
-53 dBm;-53 dBm;-53 dBm;-60 dBm
-54 dBm;-62 dBm;-80 dBm;-52 dBm
-63 dBm;-60 dBm;-52 dBm;-52 dBm
-72 dBm;-61 dBm;-52 dBm;-53 dBm
-52 dBm;-52 dBm;-50 dBm;-52 dBm
-63 dBm;-51 dBm;-52 dBm;-53 dBm
-53 dBm;-61 dBm;-51 dBm;-80 dBm
-72 dBm;-60 dBm;-51 dBm;-53 dBm
-53 dBm;-60 dBm;-52 dBm;-61 dBm
-53 dBm;-72 dBm;-50 dBm;-52 dBm
-52 dBm;-52 dBm;-50 dBm;-53 dBm
-52 dBm;-61 dBm;-51 dBm;-52 dBm
-52 dBm;-54 dBm;-52 dBm;-53 dBm
-63 dBm;-52 dBm;-63 dBm;-54 dBm
-52 dBm;-61 dBm;-53 dBm;-52 dBm
-73 dBm;-52 dBm;-80 dBm;-51 dBm
-52 dBm;-60 dBm;-52 dBm;-79 dBm
-53 dBm;-62 dBm;-63 dBm;-53 dBm
-53 dBm;-61 dBm;-52 dBm;-61 dBm
-51 dBm;-53 dBm;-80 dBm;-61 dBm
-52 dBm;-72 dBm;-52 dBm;-53 dBm
-54 dBm;-51 dBm;-62 dBm;-53 dBm
-51 dBm;-62 dBm;-50 dBm;-53 dBm
-52 dBm;-52 dBm;-52 dBm;-60 dBm
-53 dBm;-54 dBm;-52 dBm;-53 dBm
-63 dBm;-62 dBm;-54 dBm;-80 dBm
-51 dBm;-72 dBm;-54 dBm;-52 dBm
-52 dBm;-53 dBm;-52 dBm;-61 dBm
-63 dBm;-61 dBm;-79 dBm;-53 dBm
-52 dBm;-72 dBm;-80 dBm;-60 dBm
-72 dBm;-52 dBm;-79 dBm;-53 dBm
-53 dBm;-60 dBm;-53 dBm;-52 dBm
-63 dBm;-52 dBm;-52 dBm;-60 dBm
-53 dBm;-61 dBm;-49 dBm;-53 dBm
-53 dBm;-61 dBm;-49 dBm;-80 dBm
-52 dBm;-61 dBm;-50 dBm;-53 dBm
-52 dBm;-53 dBm;-50 dBm;-61 dBm
-52 dBm;-61 dBm;-51 dBm;-61 dBm
-54 dBm;-52 dBm;-49 dBm;-48 dBm
-52 dBm;-60 dBm;-51 dBm;-61 dBm
-72 dBm;-52 dBm;-49 dBm;-53 dBm
-54 dBm;-52 dBm;-63 dBm;-80 dBm
-63 dBm;-61 dBm;-52 dBm;-53 dBm
-53 dBm;-52 dBm;-51 dBm;-60 dBm
-72 dBm;-53 dBm;-80 dBm;-54 dBm
-52 dBm;-52 dBm;-51 dBm;-53 dBm
-53 dBm;-51 dBm;-69 dBm;-52 dBm
-53 dBm;-61 dBm;-51 dBm;-52 dBm
-52 dBm;-53 dBm;-52 dBm;-52 dBm
-54 dBm;-61 dBm;-79 dBm;-80 dBm
-64 dBm;-51 dBm;-53 dBm;-53 dBm
-53 dBm;-53 dBm;-52 dBm;-61 dBm
-52 dBm;-53 dBm;-51 dBm;-53 dBm
-53 dBm;-61 dBm;-50 dBm;-80 dBm
-72 dBm;-52 dBm;-53 dBm;-53 dBm
-52 dBm;-61 dBm;-79 dBm;-61 dBm
-63 dBm;-53 dBm;-52 dBm;-53 dBm
-52 dBm;-52 dBm;-63 dBm;-79 dBm
-72 dBm;-52 dBm;-52 dBm;-53 dBm
-53 dBm;-60 dBm;-53 dBm;-62 dBm
-63 dBm;-53 dBm;-63 dBm;-80 dBm
-52 dBm;-53 dBm;-53 dBm;-53 dBm
-72 dBm;-53 dBm;-52 dBm;-61 dBm
-52 dBm;-62 dBm;-51 dBm;-52 dBm
-52 dBm;-61 dBm;-63 dBm;-61 dBm
-52 dBm;-52 dBm;-53 dBm;-51 dBm
-63 dBm;-62 dBm;-80 dBm;-79 dBm
-64 dBm;-52 dBm;-53 dBm;-52 dBm
-52 dBm;-60 dBm;-51 dBm;-61 dBm
-72 dBm;-52 dBm;-63 dBm;-79 dBm
-52 dBm;-52 dBm;-53 dBm;-51 dBm
-52 dBm;-61 dBm;-52 dBm;-61 dBm
-61 dBm;-52 dBm;-52 dBm;-53 dBm
-62 dBm;-60 dBm;-52 dBm;-53 dBm
-63 dBm;-50 dBm;-80 dBm;-80 dBm
-52 dBm;-52 dBm;-52 dBm;-53 dBm
-51 dBm;-52 dBm;-53 dBm;-62 dBm
-73 dBm;-52 dBm;-63 dBm;-52 dBm
-72 dBm;-49 dBm;-52 dBm;-53 dBm
-54 dBm;-54 dBm;-63 dBm;-53 dBm
-52 dBm;-51 dBm;-51 dBm;-61 dBm
-52 dBm;-60 dBm;-54 dBm;-53 dBm
-63 dBm;-52 dBm;-52 dBm;-79 dBm
-53 dBm;-73 dBm;-79 dBm;-53 dBm
-53 dBm;-52 dBm;-53 dBm;-61 dBm
-53 dBm;-60 dBm;-63 dBm;-51 dBm
-52 dBm;-52 dBm;-53 dBm;-79 dBm
-52 dBm;-51 dBm;-53 dBm;-53 dBm
-72 dBm;-60 dBm;-63 dBm;-61 dBm
-51 dBm;-52 dBm;-53 dBm;-52 dBm
-63 dBm;-52 dBm;-52 dBm;-52 dBm
-52 dBm;-60 dBm;-80 dBm;-52 dBm
-53 dBm;-52 dBm;-53 dBm;-52 dBm
-53 dBm;-53 dBm;-63 dBm;-54 dBm
-52 dBm;-53 dBm;-53 dBm;-52 dBm
-53 dBm;-52 dBm;-80 dBm;-52 dBm
-53 dBm;-52 dBm;-51 dBm;-79 dBm
-63 dBm;-51 dBm;-53 dBm;-53 dBm
-52 dBm;-62 dBm;-53 dBm;-61 dBm
-52 dBm;-74 dBm;-63 dBm;-53 dBm
-53 dBm;-54 dBm;-51 dBm;-54 dBm
-54 dBm;-61 dBm;-79 dBm;-80 dBm
-53 dBm;-53 dBm;-51 dBm;-53 dBm
-63 dBm;-52 dBm;-63 dBm;-60 dBm
-52 dBm;-53 dBm;-53 dBm;-52 dBm
-52 dBm;-62 dBm;-80 dBm;-52 dBm
