No.;Time;signal strength;Source;Destination;Info;Length;;;;Signal 1;Signal 2
2569;123.001.867.272;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=206/52736, ttl=64;161;;192.168.1.105;;-50 dBm;
2579;123.786.373.493;-71 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=172/44032, ttl=64 (no response found!);172;;192.168.1.109;;;-71 dBm
2580;123.788.434.000;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=172/44032, ttl=64 (reply in 2581);161;;192.168.1.109;;;-50 dBm
2581;123.794.434.826;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=172/44032, ttl=64 (request in 2580);172;;192.168.1.109;;;-79 dBm
2582;123.796.624.826;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=172/44032, ttl=64;161;;192.168.1.109;;;-50 dBm
2583;123.999.816.571;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=207/52992, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2584;124.047.661.521;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=207/52992, ttl=64 (reply in 2585);161;;192.168.1.105;;-50 dBm;
2585;124.054.275.005;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=207/52992, ttl=64 (request in 2584);172;;192.168.1.105;;-78 dBm;
2586;124.055.870.630;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=207/52992, ttl=64;161;;192.168.1.105;;-50 dBm;
2602;124.968.894.188;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=173/44288, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2603;124.970.348.576;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=173/44288, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2604;124.970.375.599;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=173/44288, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2605;124.970.394.451;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=173/44288, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2606;124.971.013.791;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=173/44288, ttl=64 (reply in 2613);161;;192.168.1.109;;;-50 dBm
2607;125.001.823.617;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=208/53248, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2608;125.003.343.266;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=208/53248, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
2609;125.003.368.886;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=208/53248, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
2610;125.003.384.617;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=208/53248, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
2611;125.004.719.672;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=208/53248, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
2612;125.004.746.983;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=208/53248, ttl=64 (reply in 2615);161;;192.168.1.105;;-51 dBm;
2613;125.108.386.749;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=173/44288, ttl=64 (request in 2606);172;;192.168.1.109;;;-78 dBm
2614;125.108.695.249;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=173/44288, ttl=64;172;;192.168.1.109;;;-78 dBm
2615;125.125.065.200;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=208/53248, ttl=64 (request in 2612);172;;192.168.1.105;;-78 dBm;
2616;125.127.220.958;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=208/53248, ttl=64;161;;192.168.1.105;;-50 dBm;
2617;125.177.821.376;-49 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=173/44288, ttl=64;161;;192.168.1.109;;;-49 dBm
2618;125.179.037.051;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=173/44288, ttl=64;161;;192.168.1.109;;;-50 dBm
2619;125.179.062.427;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=173/44288, ttl=64;161;;192.168.1.109;;;-50 dBm
2628;125.793.802.290;-67 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=174/44544, ttl=64 (no response found!);172;;192.168.1.109;;;-67 dBm
2629;125.891.133.718;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=174/44544, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2630;125.891.154.065;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=174/44544, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2631;125.891.179.811;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=174/44544, ttl=64 (reply in 2632);161;;192.168.1.109;;;-50 dBm
2632;125.897.500.128;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=174/44544, ttl=64 (request in 2631);172;;192.168.1.109;;;-78 dBm
2633;125.899.346.445;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=174/44544, ttl=64;161;;192.168.1.109;;;-50 dBm
2634;126.003.124.957;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=209/53504, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2635;126.004.741.833;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=209/53504, ttl=64 (reply in 2636);161;;192.168.1.105;;-49 dBm;
2636;126.009.443.424;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=209/53504, ttl=64 (request in 2635);172;;192.168.1.105;;-78 dBm;
2637;126.011.614.605;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=209/53504, ttl=64;161;;192.168.1.105;;-50 dBm;
2638;126.011.638.932;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=209/53504, ttl=64;161;;192.168.1.105;;-50 dBm;
2639;126.011.654.292;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=209/53504, ttl=64;161;;192.168.1.105;;-50 dBm;
2648;126.790.448.685;-72 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=175/44800, ttl=64 (no response found!);172;;192.168.1.109;;;-72 dBm
2649;126.792.901.011;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=175/44800, ttl=64 (reply in 2650);161;;192.168.1.109;;;-50 dBm
2650;126.801.532.006;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=175/44800, ttl=64 (request in 2649);172;;192.168.1.109;;;-78 dBm
2651;126.802.963.810;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=175/44800, ttl=64;161;;192.168.1.109;;;-50 dBm
2652;126.804.330.246;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=175/44800, ttl=64;161;;192.168.1.109;;;-50 dBm
2653;126.804.349.330;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=175/44800, ttl=64;161;;192.168.1.109;;;-50 dBm
2654;126.804.366.195;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=175/44800, ttl=64;161;;192.168.1.109;;;-51 dBm
2655;127.007.782.106;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=210/53760, ttl=64 (no response found!);161;;192.168.1.105;;-56 dBm;
2656;127.015.877.302;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=210/53760, ttl=64 (no response found!);161;;192.168.1.105;;-49 dBm;
2657;127.017.817.673;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=210/53760, ttl=64 (reply in 2658);161;;192.168.1.105;;-50 dBm;
2658;127.026.052.911;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=210/53760, ttl=64 (request in 2657);172;;192.168.1.105;;-78 dBm;
2659;127.028.189.490;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=210/53760, ttl=64;161;;192.168.1.105;;-50 dBm;
2668;127.792.111.219;-71 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=176/45056, ttl=64 (no response found!);172;;192.168.1.109;;;-71 dBm
2669;127.837.490.236;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=176/45056, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2670;127.837.539.062;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=176/45056, ttl=64 (reply in 2671);161;;192.168.1.109;;;-50 dBm
2671;127.973.390.324;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=176/45056, ttl=64 (request in 2670);172;;192.168.1.109;;;-78 dBm
2672;127.973.652.052;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=176/45056, ttl=64;172;;192.168.1.109;;;-78 dBm
2673;127.976.921.636;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=176/45056, ttl=64;161;;192.168.1.109;;;-50 dBm
2674;127.976.945.802;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=176/45056, ttl=64;161;;192.168.1.109;;;-50 dBm
2675;127.976.962.711;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=176/45056, ttl=64;161;;192.168.1.109;;;-50 dBm
2676;127.976.977.894;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=176/45056, ttl=64;161;;192.168.1.109;;;-50 dBm
2677;127.976.993.944;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=176/45056, ttl=64;161;;192.168.1.109;;;-50 dBm
2678;128.006.243.254;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=211/54016, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2679;128.008.583.804;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=211/54016, ttl=64 (reply in 2680);161;;192.168.1.105;;-50 dBm;
2680;128.009.188.607;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=211/54016, ttl=64 (request in 2679);172;;192.168.1.105;;-78 dBm;
2681;128.009.558.296;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=211/54016, ttl=64;172;;192.168.1.105;;-79 dBm;
2682;128.009.964.625;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=211/54016, ttl=64;172;;192.168.1.105;;-78 dBm;
2683;128.011.720.319;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=211/54016, ttl=64;161;;192.168.1.105;;-50 dBm;
2703;128.859.509.207;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=177/45312, ttl=64 (reply in 2704);161;;192.168.1.109;;;-51 dBm
2704;128.866.449.431;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=177/45312, ttl=64 (request in 2703);172;;192.168.1.109;;;-78 dBm
2705;128.868.511.078;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=177/45312, ttl=64;161;;192.168.1.109;;;-50 dBm
2706;129.008.091.052;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=212/54272, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2707;129.009.935.131;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=212/54272, ttl=64 (reply in 2708);161;;192.168.1.105;;-50 dBm;
2708;129.015.287.802;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=212/54272, ttl=64 (request in 2707);172;;192.168.1.105;;-78 dBm;
2709;129.015.624.477;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=212/54272, ttl=64;172;;192.168.1.105;;-78 dBm;
2710;129.017.859.216;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=212/54272, ttl=64;161;;192.168.1.105;;-50 dBm;
2723;129.986.418.887;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=178/45568, ttl=64 (reply in 2726);161;;192.168.1.109;;;-50 dBm
2724;130.009.840.333;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=213/54528, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2725;130.010.966.208;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=213/54528, ttl=64 (reply in 2727);161;;192.168.1.105;;-50 dBm;
2726;130.122.905.853;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=178/45568, ttl=64 (request in 2723);172;;192.168.1.109;;;-78 dBm
2727;130.125.034.301;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=213/54528, ttl=64 (request in 2725);172;;192.168.1.105;;-78 dBm;
2728;130.127.161.245;-49 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=213/54528, ttl=64;161;;192.168.1.105;;-49 dBm;
2729;130.191.086.991;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=178/45568, ttl=64;161;;192.168.1.109;;;-50 dBm
2749;130.795.917.895;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=179/45824, ttl=64 (reply in 2750);161;;192.168.1.109;;;-50 dBm
2750;130.797.003.737;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=179/45824, ttl=64 (request in 2749);172;;192.168.1.109;;;-78 dBm
2751;130.798.047.879;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=179/45824, ttl=64;172;;192.168.1.109;;;-78 dBm
2752;130.806.093.854;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=179/45824, ttl=64;161;;192.168.1.109;;;-50 dBm
2753;130.808.758.521;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=179/45824, ttl=64;161;;192.168.1.109;;;-50 dBm
2754;131.011.079.054;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=214/54784, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2755;131.112.312.869;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=214/54784, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
2756;131.112.351.419;-49 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=214/54784, ttl=64 (no response found!);161;;192.168.1.105;;-49 dBm;
2757;131.113.280.109;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=214/54784, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
2758;131.113.304.027;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=214/54784, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
2759;131.113.319.564;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=214/54784, ttl=64 (reply in 2760);161;;192.168.1.105;;-50 dBm;
2760;131.120.690.552;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=214/54784, ttl=64 (request in 2759);172;;192.168.1.105;;-78 dBm;
2761;131.120.992.959;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=214/54784, ttl=64;172;;192.168.1.105;;-78 dBm;
2762;131.123.148.144;-49 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=214/54784, ttl=64;161;;192.168.1.105;;-49 dBm;
2775;131.829.317.419;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=180/46080, ttl=64 (reply in 2776);161;;192.168.1.109;;;-50 dBm
2776;131.965.658.743;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=180/46080, ttl=64 (request in 2775);172;;192.168.1.109;;;-78 dBm
2777;131.965.999.932;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=180/46080, ttl=64;172;;192.168.1.109;;;-79 dBm
2778;132.012.869.735;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=215/55040, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2779;132.014.861.720;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=215/55040, ttl=64 (reply in 2780);161;;192.168.1.105;;-50 dBm;
2780;132.015.940.662;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=215/55040, ttl=64 (request in 2779);172;;192.168.1.105;;-78 dBm;
2781;132.018.050.007;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=215/55040, ttl=64;161;;192.168.1.105;;-50 dBm;
2784;132.798.337.839;-71 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=181/46336, ttl=64 (no response found!);172;;192.168.1.109;;;-71 dBm
2785;132.801.285.711;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=181/46336, ttl=64 (reply in 2786);161;;192.168.1.109;;;-50 dBm
2786;132.802.693.589;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=181/46336, ttl=64 (request in 2785);172;;192.168.1.109;;;-78 dBm
2787;132.802.999.039;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=181/46336, ttl=64;172;;192.168.1.109;;;-79 dBm
2788;132.803.946.033;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=181/46336, ttl=64;172;;192.168.1.109;;;-78 dBm
2789;132.806.136.645;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=181/46336, ttl=64;161;;192.168.1.109;;;-50 dBm
2800;133.017.560.134;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=216/55296, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2801;133.060.392.965;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=216/55296, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
2802;133.061.787.828;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=216/55296, ttl=64 (reply in 2803);161;;192.168.1.105;;-51 dBm;
2803;133.067.969.945;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=216/55296, ttl=64 (request in 2802);172;;192.168.1.105;;-79 dBm;
2804;133.068.366.847;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=216/55296, ttl=64;172;;192.168.1.105;;-79 dBm;
2805;133.070.002.420;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=216/55296, ttl=64;161;;192.168.1.105;;-50 dBm;
2817;133.800.695.943;-71 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=182/46592, ttl=64 (no response found!);172;;192.168.1.109;;;-71 dBm
2818;133.802.558.861;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=182/46592, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2819;133.802.581.095;-49 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=182/46592, ttl=64 (reply in 2820);161;;192.168.1.109;;;-49 dBm
2820;133.803.057.689;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=182/46592, ttl=64 (request in 2819);172;;192.168.1.109;;;-78 dBm
2821;133.805.187.080;-49 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=182/46592, ttl=64;161;;192.168.1.109;;;-49 dBm
2822;134.015.946.557;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=217/55552, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2823;134.081.331.543;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=217/55552, ttl=64 (reply in 2824);161;;192.168.1.105;;-50 dBm;
2824;134.088.116.395;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=217/55552, ttl=64 (request in 2823);172;;192.168.1.105;;-78 dBm;
2825;134.088.426.400;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=217/55552, ttl=64;172;;192.168.1.105;;-78 dBm;
2826;134.090.180.896;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=217/55552, ttl=64;161;;192.168.1.105;;-50 dBm;
2836;134.902.404.466;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=183/46848, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2837;134.902.454.299;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=183/46848, ttl=64 (reply in 2838);161;;192.168.1.109;;;-50 dBm
2838;134.908.387.890;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=183/46848, ttl=64 (request in 2837);172;;192.168.1.109;;;-79 dBm
2839;134.910.436.204;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=183/46848, ttl=64;161;;192.168.1.109;;;-50 dBm
2840;134.910.460.458;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=183/46848, ttl=64;161;;192.168.1.109;;;-51 dBm
2841;134.910.475.841;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=183/46848, ttl=64;161;;192.168.1.109;;;-50 dBm
2842;134.912.476.678;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=183/46848, ttl=64;161;;192.168.1.109;;;-50 dBm
2843;134.912.515.690;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=183/46848, ttl=64;161;;192.168.1.109;;;-50 dBm
2844;135.017.152.910;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=218/55808, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2845;135.018.260.905;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=218/55808, ttl=64 (reply in 2846);161;;192.168.1.105;;-50 dBm;
2846;135.019.645.347;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=218/55808, ttl=64 (request in 2845);172;;192.168.1.105;;-78 dBm;
2847;135.019.911.763;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=218/55808, ttl=64;172;;192.168.1.105;;-78 dBm;
2848;135.021.506.080;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=218/55808, ttl=64;161;;192.168.1.105;;-50 dBm;
2851;135.802.903.859;-71 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=184/47104, ttl=64 (no response found!);172;;192.168.1.109;;;-71 dBm
2852;135.929.919.943;-49 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=184/47104, ttl=64 (reply in 2853);161;;192.168.1.109;;;-49 dBm
2853;136.065.926.545;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=184/47104, ttl=64 (request in 2852);172;;192.168.1.109;;;-78 dBm
2854;136.068.075.063;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=184/47104, ttl=64;161;;192.168.1.109;;;-50 dBm
2863;136.805.991.544;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=185/47360, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2864;136.807.201.287;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=185/47360, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2865;136.807.225.412;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=185/47360, ttl=64 (no response found!);161;;192.168.1.109;;;-50 dBm
2866;136.807.801.355;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x0a96, seq=185/47360, ttl=64 (reply in 2867);161;;192.168.1.109;;;-50 dBm
2867;136.813.610.880;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=185/47360, ttl=64 (request in 2866);172;;192.168.1.109;;;-78 dBm
2868;136.846.526.713;-49 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x0a96, seq=185/47360, ttl=64;161;;192.168.1.109;;;-49 dBm
2871;136.885.125.727;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=219/56064, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
2873;136.887.617.487;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=219/56064, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
2874;136.887.636.536;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=219/56064, ttl=64 (no response found!);161;;192.168.1.105;;-50 dBm;
2875;136.887.652.034;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=219/56064, ttl=64 (reply in 2878);161;;192.168.1.105;;-50 dBm;
2878;136.892.919.134;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=219/56064, ttl=64 (request in 2875);172;;192.168.1.105;;-78 dBm;
2879;136.895.046.951;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x0b52, seq=219/56064, ttl=64;161;;192.168.1.105;;-50 dBm;
2880;137.018.545.890;-57 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x0b52, seq=220/56320, ttl=64 (no response found!);161;;192.168.1.105;;-57 dBm;
