No.;Time;signal strength;Source;Destination;Info;Length;;;S1D1;S2D1
3812;201.470.168.046;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=357/25857, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-51 dBm
3813;201.471.034.233;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=357/25857, ttl=64 (no response found!);161;;192.168.1.109;-54 dBm;-49 dBm
3814;201.471.783.273;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=357/25857, ttl=64 (reply in 3815);161;;192.168.1.109;-54 dBm;-46 dBm
3815;201.472.760.245;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=357/25857, ttl=64 (request in 3814);172;;192.168.1.109;-53 dBm;-52 dBm
3816;201.475.317.329;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=357/25857, ttl=64;161;;192.168.1.109;-55 dBm;-52 dBm
3818;201.687.073.200;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=479/57089, ttl=64 (no response found!);161;192.168.1.105;;-53 dBm;-53 dBm
3819;201.711.752.131;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=479/57089, ttl=64 (reply in 3820);161;192.168.1.105;;-54 dBm;-50 dBm
3820;201.714.482.875;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=479/57089, ttl=64 (request in 3819);172;192.168.1.105;;-57 dBm;-51 dBm
3821;201.716.010.235;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=479/57089, ttl=64;161;192.168.1.105;;-56 dBm;-52 dBm
3825;202.531.067.107;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=358/26113, ttl=64 (reply in 3827);161;;192.168.1.109;-49 dBm;-51 dBm
3827;202.686.571.588;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=358/26113, ttl=64 (request in 3825);172;;192.168.1.109;-54 dBm;-51 dBm
3828;202.688.209.206;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=480/57345, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-51 dBm
3829;202.689.258.687;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=480/57345, ttl=64 (reply in 3830);161;192.168.1.105;;-56 dBm;-52 dBm
3830;202.689.432.655;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=480/57345, ttl=64 (request in 3829);172;192.168.1.105;;-54 dBm;-52 dBm
3831;202.691.641.144;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=480/57345, ttl=64;161;192.168.1.105;;-53 dBm;-47 dBm
3833;202.735.136.717;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=358/26113, ttl=64;172;;192.168.1.109;-54 dBm;-48 dBm
3841;203.560.009.246;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=359/26369, ttl=64 (reply in 3842);161;;192.168.1.109;-55 dBm;-46 dBm
3842;203.567.185.269;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=359/26369, ttl=64 (request in 3841);172;;192.168.1.109;-54 dBm;-47 dBm
3843;203.570.687.292;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=359/26369, ttl=64;161;;192.168.1.109;-51 dBm;-50 dBm
3844;203.690.193.769;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=481/57601, ttl=64 (no response found!);161;192.168.1.105;;-53 dBm;-53 dBm
3845;203.691.827.386;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=481/57601, ttl=64 (reply in 3846);161;192.168.1.105;;-54 dBm;-79 dBm
3846;203.697.149.969;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=481/57601, ttl=64 (request in 3845);172;192.168.1.105;;-53 dBm;-51 dBm
3847;203.698.731.194;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=481/57601, ttl=64;161;192.168.1.105;;-52 dBm;-47 dBm
3863;204.579.318.088;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=360/26625, ttl=64 (no response found!);161;;192.168.1.109;-55 dBm;-78 dBm
3864;204.579.343.261;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=360/26625, ttl=64 (reply in 3867);161;;192.168.1.109;-55 dBm;-79 dBm
3865;204.691.036.335;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=482/57857, ttl=64 (no response found!);161;192.168.1.105;;-56 dBm;-51 dBm
3866;204.692.679.927;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=482/57857, ttl=64 (reply in 3868);161;192.168.1.105;;-56 dBm;-52 dBm
3867;204.714.870.468;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=360/26625, ttl=64 (request in 3864);172;;192.168.1.109;-54 dBm;-76 dBm
3868;204.717.252.518;-77 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=482/57857, ttl=64 (request in 3866);172;192.168.1.105;;-54 dBm;-52 dBm
3869;204.718.935.170;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=482/57857, ttl=64;161;192.168.1.105;;-54 dBm;-78 dBm
3870;204.718.960.570;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=482/57857, ttl=64;161;192.168.1.105;;-58 dBm;-51 dBm
3871;204.987.684.364;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=360/26625, ttl=64;161;;192.168.1.109;-56 dBm;-51 dBm
3878;205.500.501.634;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=361/26881, ttl=64 (reply in 3879);161;;192.168.1.109;-53 dBm;-78 dBm
3879;205.506.867.547;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=361/26881, ttl=64 (request in 3878);172;;192.168.1.109;-52 dBm;-51 dBm
3880;205.509.491.906;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=361/26881, ttl=64;161;;192.168.1.109;-53 dBm;-72 dBm
3881;205.509.516.682;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=361/26881, ttl=64;161;;192.168.1.109;-57 dBm;-51 dBm
3882;205.509.532.306;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=361/26881, ttl=64;161;;192.168.1.109;-54 dBm;-78 dBm
3885;205.692.175.091;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=483/58113, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-51 dBm
3886;205.693.453.115;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=483/58113, ttl=64 (no response found!);161;192.168.1.105;;-58 dBm;-75 dBm
3887;205.693.480.775;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=483/58113, ttl=64 (no response found!);161;192.168.1.105;;-50 dBm;-51 dBm
3888;205.693.496.643;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=483/58113, ttl=64 (no response found!);161;192.168.1.105;;-57 dBm;-79 dBm
3889;205.694.464.114;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=483/58113, ttl=64 (no response found!);161;192.168.1.105;;-55 dBm;-52 dBm
3890;205.694.488.300;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=483/58113, ttl=64 (reply in 3891);161;192.168.1.105;;-50 dBm;-75 dBm
3891;205.699.415.008;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=483/58113, ttl=64 (request in 3890);172;192.168.1.105;;-57 dBm;-52 dBm
3892;205.702.578.810;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=483/58113, ttl=64;161;192.168.1.105;;-51 dBm;-78 dBm
3901;206.524.498.881;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=362/27137, ttl=64 (reply in 3902);161;;192.168.1.109;-78 dBm;-51 dBm
3902;206.680.769.188;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=362/27137, ttl=64 (request in 3901);172;;192.168.1.109;-52 dBm;-51 dBm
3903;206.693.960.147;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=484/58369, ttl=64 (no response found!);161;192.168.1.105;;-54 dBm;-78 dBm
3904;206.695.623.762;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=484/58369, ttl=64 (reply in 3905);161;192.168.1.105;;-51 dBm;-52 dBm
3905;206.698.907.979;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=484/58369, ttl=64 (request in 3904);161;192.168.1.105;;-78 dBm;-51 dBm
3906;206.698.932.729;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=484/58369, ttl=64;161;192.168.1.105;;-51 dBm;-51 dBm
3907;206.698.948.431;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=484/58369, ttl=64;161;192.168.1.105;;-51 dBm;-52 dBm
3908;206.700.064.254;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=484/58369, ttl=64;161;192.168.1.105;;-52 dBm;-51 dBm
3909;206.700.092.348;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=484/58369, ttl=64;161;192.168.1.105;;-51 dBm;-51 dBm
3910;206.700.109.318;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=484/58369, ttl=64;161;192.168.1.105;;-54 dBm;-50 dBm
3911;206.729.635.041;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=362/27137, ttl=64;161;;192.168.1.109;-52 dBm;-50 dBm
3915;207.476.452.641;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=363/27393, ttl=64 (no response found!);161;;192.168.1.109;-78 dBm;-51 dBm
3916;207.476.477.646;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=363/27393, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-75 dBm
3917;207.476.493.610;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=363/27393, ttl=64 (no response found!);161;;192.168.1.109;-55 dBm;-52 dBm
3918;207.476.508.875;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=363/27393, ttl=64 (no response found!);161;;192.168.1.109;-52 dBm;-79 dBm
3919;207.477.014.282;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=363/27393, ttl=64 (reply in 3920);161;;192.168.1.109;-51 dBm;-52 dBm
3920;207.483.471.492;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=363/27393, ttl=64 (request in 3919);172;;192.168.1.109;-78 dBm;-51 dBm
3921;207.485.811.618;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=363/27393, ttl=64;161;;192.168.1.109;-51 dBm;-50 dBm
3925;207.694.966.543;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=485/58625, ttl=64 (no response found!);161;192.168.1.105;;-56 dBm;-52 dBm
3926;207.870.974.868;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=485/58625, ttl=64 (reply in 3927);161;192.168.1.105;;-51 dBm;-51 dBm
3927;207.903.711.488;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=485/58625, ttl=64 (request in 3926);172;192.168.1.105;;-51 dBm;-77 dBm
3928;207.906.034.072;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=485/58625, ttl=64;161;192.168.1.105;;-51 dBm;-52 dBm
3929;207.906.059.811;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=485/58625, ttl=64;161;192.168.1.105;;-51 dBm;-51 dBm
3932;208.475.788.441;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=364/27649, ttl=64 (no response found!);161;;192.168.1.109;-52 dBm;-51 dBm
3933;208.477.040.016;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=364/27649, ttl=64 (no response found!);161;;192.168.1.109;-78 dBm;-52 dBm
3934;208.477.066.236;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=364/27649, ttl=64 (reply in 3938);161;;192.168.1.109;-51 dBm;-51 dBm
3938;208.483.364.198;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=364/27649, ttl=64 (request in 3934);172;;192.168.1.109;-57 dBm;-52 dBm
3940;208.517.555.922;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=364/27649, ttl=64;161;;192.168.1.109;-51 dBm;-73 dBm
3941;208.517.580.843;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=364/27649, ttl=64;161;;192.168.1.109;-78 dBm;-52 dBm
3942;208.698.503.825;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=486/58881, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-51 dBm
3943;208.726.152.258;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=486/58881, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-50 dBm
3944;208.727.271.209;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=486/58881, ttl=64 (no response found!);161;192.168.1.105;;-50 dBm;-51 dBm
3945;208.727.296.428;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=486/58881, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-78 dBm
3946;208.727.312.276;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=486/58881, ttl=64 (no response found!);161;192.168.1.105;;-50 dBm;-52 dBm
3947;208.728.383.751;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=486/58881, ttl=64 (reply in 3948);161;192.168.1.105;;-55 dBm;-50 dBm
3948;208.729.533.076;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=486/58881, ttl=64 (request in 3947);172;192.168.1.105;;-51 dBm;-80 dBm
3949;208.731.751.669;-50 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=486/58881, ttl=64;161;192.168.1.105;;-78 dBm;-79 dBm
3956;209.598.041.001;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=365/27905, ttl=64 (reply in 3965);161;;192.168.1.109;-51 dBm;-51 dBm
3963;209.696.913.057;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=487/59137, ttl=64 (no response found!);161;192.168.1.105;;-54 dBm;-51 dBm
3964;209.698.566.971;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=487/59137, ttl=64 (reply in 3967);161;192.168.1.105;;-58 dBm;-51 dBm
3965;209.752.006.433;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=365/27905, ttl=64 (request in 3956);172;;192.168.1.109;-53 dBm;-79 dBm
3966;209.754.133.635;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=365/27905, ttl=64;161;;192.168.1.109;-54 dBm;-50 dBm
3967;209.754.197.843;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=487/59137, ttl=64 (request in 3964);172;192.168.1.105;;-55 dBm;-50 dBm
3968;209.755.416.752;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=487/59137, ttl=64;161;192.168.1.105;;-57 dBm;-74 dBm
3976;210.517.540.052;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=366/28161, ttl=64 (reply in 3977);161;;192.168.1.109;-51 dBm;-51 dBm
3977;210.524.327.162;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=366/28161, ttl=64 (request in 3976);172;;192.168.1.109;-78 dBm;-78 dBm
3978;210.526.180.322;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=366/28161, ttl=64;161;;192.168.1.109;-51 dBm;-51 dBm
3979;210.698.101.652;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=488/59393, ttl=64 (no response found!);161;192.168.1.105;;-58 dBm;-51 dBm
3980;210.699.730.805;-52 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=488/59393, ttl=64 (reply in 3981);161;192.168.1.105;;-51 dBm;-51 dBm
3981;210.705.142.007;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=488/59393, ttl=64 (request in 3980);172;192.168.1.105;;-52 dBm;-79 dBm
3982;210.709.529.289;-52 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=488/59393, ttl=64;161;192.168.1.105;;-52 dBm;-50 dBm
3983;210.709.547.520;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=488/59393, ttl=64;161;192.168.1.105;;-52 dBm;-52 dBm
3990;211.541.613.628;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=367/28417, ttl=64 (reply in 3991);161;;192.168.1.109;-51 dBm;-78 dBm
3991;211.678.112.074;-79 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=367/28417, ttl=64 (request in 3990);172;;192.168.1.109;-78 dBm;-51 dBm
3992;211.680.515.168;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=367/28417, ttl=64;161;;192.168.1.109;-52 dBm;-78 dBm
3993;211.680.540.293;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=367/28417, ttl=64;161;;192.168.1.109;-57 dBm;-76 dBm
3994;211.680.556.358;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=367/28417, ttl=64;161;;192.168.1.109;-51 dBm;-51 dBm
3995;211.681.574.607;-52 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=367/28417, ttl=64;161;;192.168.1.109;-78 dBm;-52 dBm
3996;211.682.328.002;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=367/28417, ttl=64;161;;192.168.1.109;-52 dBm;-50 dBm
3997;211.699.068.984;-55 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=489/59649, ttl=64 (no response found!);161;192.168.1.105;;-53 dBm;-51 dBm
3998;211.701.071.893;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=489/59649, ttl=64 (no response found!);161;192.168.1.105;;-55 dBm;-52 dBm
3999;211.701.096.826;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=489/59649, ttl=64 (reply in 4000);161;192.168.1.105;;-51 dBm;-78 dBm
4000;211.701.633.494;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=489/59649, ttl=64 (request in 3999);172;192.168.1.105;;-50 dBm;-50 dBm
4001;211.703.771.420;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=489/59649, ttl=64;161;192.168.1.105;;-58 dBm;-76 dBm
4010;212.570.612.703;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=368/28673, ttl=64 (no response found!);161;;192.168.1.109;-57 dBm;-50 dBm
4011;212.577.499.053;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=368/28673, ttl=64 (no response found!);161;;192.168.1.109;-52 dBm;-78 dBm
4012;212.582.518.801;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=368/28673, ttl=64 (no response found!);161;;192.168.1.109;-78 dBm;-52 dBm
4013;212.590.672.234;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=368/28673, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-51 dBm
4014;212.590.713.462;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=368/28673, ttl=64 (reply in 4015);161;;192.168.1.109;-58 dBm;-62 dBm
4015;212.597.511.094;-77 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=368/28673, ttl=64 (request in 4014);172;;192.168.1.109;-51 dBm;-51 dBm
4016;212.669.027.564;-49 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=368/28673, ttl=64;172;;192.168.1.109;-79 dBm;-76 dBm
4017;212.670.428.714;-50 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=368/28673, ttl=64;172;;192.168.1.109;-51 dBm;-78 dBm
4018;212.700.316.865;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=490/59905, ttl=64 (no response found!);161;192.168.1.105;;-57 dBm;-49 dBm
4019;212.702.829.227;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=490/59905, ttl=64 (no response found!);161;192.168.1.105;;-52 dBm;-49 dBm
4020;212.702.854.382;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=490/59905, ttl=64 (no response found!);161;192.168.1.105;;-78 dBm;-50 dBm
4021;212.702.870.367;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=490/59905, ttl=64 (no response found!);161;192.168.1.105;;-50 dBm;-50 dBm
4022;212.702.887.857;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=490/59905, ttl=64 (no response found!);161;192.168.1.105;;-55 dBm;-50 dBm
4023;212.702.903.892;-50 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=490/59905, ttl=64 (reply in 4024);161;192.168.1.105;;-53 dBm;-49 dBm
4024;212.707.873.617;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=490/59905, ttl=64 (request in 4023);172;192.168.1.105;;-53 dBm;-49 dBm
4025;212.710.428.983;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=490/59905, ttl=64;161;192.168.1.105;;-53 dBm;-50 dBm
4035;213.590.235.893;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=369/28929, ttl=64 (reply in 4037);161;;192.168.1.109;-53 dBm;-50 dBm
4036;213.700.665.546;-56 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=491/60161, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-49 dBm
4037;213.700.726.002;-78 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=369/28929, ttl=64 (request in 4035);172;;192.168.1.109;-57 dBm;-50 dBm
4038;213.702.513.921;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=491/60161, ttl=64 (reply in 4040);161;192.168.1.105;;-56 dBm;-51 dBm
4039;213.702.551.776;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=369/28929, ttl=64;161;;192.168.1.109;-51 dBm;-78 dBm
4040;213.702.598.863;-78 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=491/60161, ttl=64 (request in 4038);172;192.168.1.105;;-57 dBm;-51 dBm
4041;213.703.998.998;-51 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=491/60161, ttl=64;161;192.168.1.105;;-52 dBm;-73 dBm
4049;214.512.125.552;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=370/29185, ttl=64 (no response found!);161;;192.168.1.109;-80 dBm;-50 dBm
4050;214.512.151.335;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=370/29185, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-78 dBm
4051;214.512.169.043;-52 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=370/29185, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-51 dBm
4052;214.512.739.693;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=370/29185, ttl=64 (no response found!);161;;192.168.1.109;-51 dBm;-51 dBm
4053;214.513.964.451;-51 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=370/29185, ttl=64 (no response found!);161;;192.168.1.109;-57 dBm;-78 dBm
4054;214.514.707.004;-50 dBm;192.168.1.109;192.168.1.101;Echo (ping) request  id=0x05c2, seq=370/29185, ttl=64 (reply in 4055);161;;192.168.1.109;-57 dBm;-51 dBm
4055;214.523.888.836;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=370/29185, ttl=64 (request in 4054);161;;192.168.1.109;-51 dBm;-76 dBm
4056;214.523.913.867;-51 dBm;192.168.1.101;192.168.1.109;Echo (ping) reply    id=0x05c2, seq=370/29185, ttl=64;161;;192.168.1.109;-79 dBm;-51 dBm
4057;214.702.796.104;-54 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=492/60417, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-52 dBm
4058;214.704.581.251;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=492/60417, ttl=64 (no response found!);161;192.168.1.105;;-57 dBm;-78 dBm
4059;214.704.605.586;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=492/60417, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-52 dBm
4060;214.704.620.994;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=492/60417, ttl=64 (no response found!);161;192.168.1.105;;-79 dBm;-51 dBm
4061;214.706.726.054;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=492/60417, ttl=64 (no response found!);161;192.168.1.105;;-51 dBm;-51 dBm
4062;214.709.599.960;-51 dBm;192.168.1.105;192.168.1.101;Echo (ping) request  id=0x057f, seq=492/60417, ttl=64 (reply in 4063);161;192.168.1.105;;-52 dBm;-78 dBm
4063;214.714.283.278;-79 dBm;192.168.1.101;192.168.1.105;Echo (ping) reply    id=0x057f, seq=492/60417, ttl=64 (request in 4062);172;192.168.1.105;;-56 dBm;-52 dBm
