No.;Time;signal strength;Source;Destination;Info;Length;;;S1;S2
2410;112.230.345.060;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=225/57600, ttl=64 (reply in 2411);161;;192.168.1.106;;-53 dBm
2411;112.238.790.810;-77 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=225/57600, ttl=64 (request in 2410);172;;192.168.1.106;;-77 dBm
2412;112.240.901.817;-52 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=225/57600, ttl=64;161;;192.168.1.106;;-52 dBm
2423;112.584.474.825;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=282/6657, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
2424;112.639.416.996;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=282/6657, ttl=64 (reply in 2425);161;192.168.1.102;;-53 dBm;
2425;112.648.960.872;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=282/6657, ttl=64 (request in 2424);161;192.168.1.102;;-53 dBm;
2426;113.235.598.123;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=226/57856, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
2427;113.235.622.297;-61 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=226/57856, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
2431;113.359.646.976;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=226/57856, ttl=64 (reply in 2432);161;;192.168.1.106;;-52 dBm
2432;113.368.952.764;-53 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=226/57856, ttl=64 (request in 2431);161;;192.168.1.106;;-53 dBm
2434;113.586.122.675;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=283/6913, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
2435;113.669.880.629;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=283/6913, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
2436;113.669.904.887;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=283/6913, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
2437;113.669.920.389;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=283/6913, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
2438;113.671.230.882;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=283/6913, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
2439;113.671.254.805;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=283/6913, ttl=64 (reply in 2440);161;192.168.1.102;;-52 dBm;
2440;113.678.769.927;-77 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=283/6913, ttl=64 (request in 2439);172;192.168.1.102;;-77 dBm;
2441;113.680.789.838;-54 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=283/6913, ttl=64;161;192.168.1.102;;-54 dBm;
2448;114.226.498.895;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=227/58112, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
2449;114.227.984.885;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=227/58112, ttl=64 (reply in 2450);161;;192.168.1.106;;-52 dBm
2450;114.234.590.186;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=227/58112, ttl=64 (request in 2449);172;;192.168.1.106;;-76 dBm
2451;114.235.976.846;-52 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=227/58112, ttl=64;161;;192.168.1.106;;-52 dBm
2460;114.589.285.098;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=284/7169, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
2461;114.689.861.484;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=284/7169, ttl=64 (reply in 2462);161;192.168.1.102;;-53 dBm;
2462;114.697.625.701;-76 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=284/7169, ttl=64 (request in 2461);172;192.168.1.102;;-76 dBm;
2463;114.699.752.844;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=284/7169, ttl=64;161;192.168.1.102;;-53 dBm;
2464;115.225.124.859;-63 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=228/58368, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
2465;115.226.834.786;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=228/58368, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
2466;115.226.858.895;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=228/58368, ttl=64 (reply in 2467);161;;192.168.1.106;;-53 dBm
2467;115.234.055.207;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=228/58368, ttl=64 (request in 2466);172;;192.168.1.106;;-76 dBm
2468;115.235.577.720;-53 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=228/58368, ttl=64;161;;192.168.1.106;;-53 dBm
2478;115.592.311.227;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=285/7425, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
2479;115.595.165.596;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=285/7425, ttl=64 (reply in 2480);161;192.168.1.102;;-53 dBm;
2480;115.602.348.429;-76 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=285/7425, ttl=64 (request in 2479);172;192.168.1.102;;-76 dBm;
2481;115.606.795.096;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=285/7425, ttl=64;161;192.168.1.102;;-52 dBm;
2482;115.609.911.417;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=285/7425, ttl=64;161;192.168.1.102;;-53 dBm;
2483;116.226.831.626;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=229/58624, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
2484;116.232.423.971;-61 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=229/58624, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
2497;116.473.675.369;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=229/58624, ttl=64 (reply in 2498);161;;192.168.1.106;;-52 dBm
2498;116.482.264.054;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=229/58624, ttl=64 (request in 2497);172;;192.168.1.106;;-76 dBm
2499;116.484.203.641;-52 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=229/58624, ttl=64;161;;192.168.1.106;;-52 dBm
2500;116.593.269.986;-54 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=286/7681, ttl=64 (no response found!);161;192.168.1.102;;-54 dBm;
2501;116.595.222.560;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=286/7681, ttl=64 (reply in 2502);161;192.168.1.102;;-52 dBm;
2502;116.601.442.575;-77 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=286/7681, ttl=64 (request in 2501);172;192.168.1.102;;-77 dBm;
2503;116.605.207.784;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=286/7681, ttl=64;161;192.168.1.102;;-52 dBm;
2504;116.606.407.165;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=286/7681, ttl=64;161;192.168.1.102;;-52 dBm;
2505;117.227.204.590;-63 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=230/58880, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
2506;117.250.117.469;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=230/58880, ttl=64 (reply in 2507);161;;192.168.1.106;;-53 dBm
2507;117.258.437.925;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=230/58880, ttl=64 (request in 2506);172;;192.168.1.106;;-76 dBm
2508;117.260.581.717;-53 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=230/58880, ttl=64;161;;192.168.1.106;;-53 dBm
2520;117.591.500.239;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=287/7937, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
2521;117.592.984.152;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=287/7937, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
2522;117.594.043.921;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=287/7937, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
2523;117.594.068.547;-54 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=287/7937, ttl=64 (no response found!);161;192.168.1.102;;-54 dBm;
2524;117.594.749.499;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=287/7937, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
2525;117.594.774.016;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=287/7937, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
2526;117.596.183.439;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=287/7937, ttl=64 (reply in 2527);161;192.168.1.102;;-53 dBm;
2527;117.598.311.691;-76 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=287/7937, ttl=64 (request in 2526);172;192.168.1.102;;-76 dBm;
2528;117.600.583.756;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=287/7937, ttl=64;161;192.168.1.102;;-53 dBm;
2529;118.228.660.319;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=231/59136, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
2530;118.269.685.823;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=231/59136, ttl=64 (reply in 2531);161;;192.168.1.106;;-53 dBm
2531;118.277.526.560;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=231/59136, ttl=64 (request in 2530);172;;192.168.1.106;;-76 dBm
2532;118.279.426.780;-53 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=231/59136, ttl=64;161;;192.168.1.106;;-53 dBm
2545;118.592.641.313;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=288/8193, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
2546;118.594.805.489;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=288/8193, ttl=64 (reply in 2547);161;192.168.1.102;;-53 dBm;
2547;118.602.965.239;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=288/8193, ttl=64 (request in 2546);161;192.168.1.102;;-53 dBm;
2548;119.230.582.031;-61 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=232/59392, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
2549;119.299.403.430;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=232/59392, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
2550;119.299.428.164;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=232/59392, ttl=64 (reply in 2551);161;;192.168.1.106;;-53 dBm
2551;119.310.727.514;-53 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=232/59392, ttl=64 (request in 2550);161;;192.168.1.106;;-53 dBm
2562;119.594.491.661;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=289/8449, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
2563;119.607.833.677;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=289/8449, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
2564;119.608.618.295;-51 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=289/8449, ttl=64 (no response found!);161;192.168.1.102;;-51 dBm;
2565;119.608.642.601;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=289/8449, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
2566;119.610.417.679;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=289/8449, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
2567;119.610.442.132;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=289/8449, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
2568;119.610.457.552;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=289/8449, ttl=64 (reply in 2569);161;192.168.1.102;;-53 dBm;
2569;119.613.806.512;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=289/8449, ttl=64 (request in 2568);161;192.168.1.102;;-52 dBm;
2570;120.231.684.650;-61 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=233/59648, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
2571;120.319.808.997;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=233/59648, ttl=64 (reply in 2580);161;;192.168.1.106;;-52 dBm
2577;120.595.665.024;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=290/8705, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
2578;120.597.338.607;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=290/8705, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
2579;120.597.362.981;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=290/8705, ttl=64 (reply in 2581);161;192.168.1.102;;-53 dBm;
2580;120.627.697.684;-53 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=233/59648, ttl=64 (request in 2571);161;;192.168.1.106;;-53 dBm
2581;120.628.592.636;-77 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=290/8705, ttl=64 (request in 2579);172;192.168.1.102;;-77 dBm;
2582;120.630.468.802;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=290/8705, ttl=64;161;192.168.1.102;;-53 dBm;
2583;120.630.492.594;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=290/8705, ttl=64;161;192.168.1.102;;-53 dBm;
2588;121.231.439.438;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=234/59904, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
2589;121.232.216.781;-54 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=234/59904, ttl=64 (reply in 2590);161;;192.168.1.106;;-54 dBm
2590;121.240.464.421;-52 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=234/59904, ttl=64 (request in 2589);161;;192.168.1.106;;-52 dBm
2599;121.599.754.549;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=291/8961, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
2600;121.650.437.468;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=291/8961, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
2601;121.650.463.468;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=291/8961, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
2602;121.650.479.733;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=291/8961, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
2603;121.650.498.218;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=291/8961, ttl=64 (reply in 2604);161;192.168.1.102;;-53 dBm;
2604;121.660.656.766;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=291/8961, ttl=64 (request in 2603);161;192.168.1.102;;-53 dBm;
2605;122.233.532.010;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=235/60160, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
2606;122.270.204.054;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=235/60160, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
2607;122.270.227.695;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=235/60160, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
2608;122.270.244.380;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=235/60160, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
2609;122.270.260.186;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=235/60160, ttl=64 (reply in 2610);161;;192.168.1.106;;-52 dBm
2610;122.277.636.122;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=235/60160, ttl=64 (request in 2609);172;;192.168.1.106;;-76 dBm
2611;122.279.140.763;-52 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=235/60160, ttl=64;161;;192.168.1.106;;-52 dBm
2622;122.599.471.953;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=292/9217, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
2623;122.601.766.313;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=292/9217, ttl=64 (reply in 2624);161;192.168.1.102;;-52 dBm;
2624;122.609.642.355;-76 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=292/9217, ttl=64 (request in 2623);172;192.168.1.102;;-76 dBm;
2625;122.611.493.378;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=292/9217, ttl=64;161;192.168.1.102;;-53 dBm;
2626;123.237.464.418;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=236/60416, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
2627;123.238.945.185;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=236/60416, ttl=64 (reply in 2628);161;;192.168.1.106;;-52 dBm
2628;123.245.708.017;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=236/60416, ttl=64 (request in 2627);172;;192.168.1.106;;-76 dBm
2629;123.247.731.825;-53 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=236/60416, ttl=64;161;;192.168.1.106;;-53 dBm
2633;123.600.292.909;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=293/9473, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
2634;123.699.001.338;-54 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=293/9473, ttl=64 (reply in 2635);172;192.168.1.102;;-54 dBm;
2635;123.707.390.191;-77 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=293/9473, ttl=64 (request in 2634);172;192.168.1.102;;-77 dBm;
2636;123.709.459.999;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=293/9473, ttl=64;161;192.168.1.102;;-53 dBm;
2647;124.237.755.644;-63 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=237/60672, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
2648;124.237.785.287;-63 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=237/60672, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
2649;124.317.422.970;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=237/60672, ttl=64 (reply in 2650);161;;192.168.1.106;;-53 dBm
2650;124.318.985.510;-77 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=237/60672, ttl=64 (request in 2649);172;;192.168.1.106;;-77 dBm
2651;124.321.318.001;-51 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=237/60672, ttl=64;161;;192.168.1.106;;-51 dBm
2656;124.602.190.993;-63 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=294/9729, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
2657;124.619.487.499;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=294/9729, ttl=64 (reply in 2658);161;192.168.1.102;;-52 dBm;
2658;124.627.032.001;-76 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=294/9729, ttl=64 (request in 2657);172;192.168.1.102;;-76 dBm;
2659;124.629.066.576;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=294/9729, ttl=64;161;192.168.1.102;;-52 dBm;
2664;125.237.125.987;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=238/60928, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
2665;125.339.764.548;-53 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=238/60928, ttl=64 (reply in 2666);161;;192.168.1.106;;-53 dBm
2666;125.347.841.761;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=238/60928, ttl=64 (request in 2665);172;;192.168.1.106;;-76 dBm
2667;125.349.973.269;-51 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=238/60928, ttl=64;161;;192.168.1.106;;-51 dBm
2682;125.604.665.636;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=295/9985, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
2683;125.650.997.382;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=295/9985, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
2684;125.652.021.875;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=295/9985, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
2685;125.652.045.783;-53 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=295/9985, ttl=64 (reply in 2686);161;192.168.1.102;;-53 dBm;
2686;125.654.599.617;-76 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=295/9985, ttl=64 (request in 2685);172;192.168.1.102;;-76 dBm;
2687;125.657.433.924;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=295/9985, ttl=64;161;192.168.1.102;;-52 dBm;
2688;125.657.459.682;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=295/9985, ttl=64;161;192.168.1.102;;-52 dBm;
2689;125.657.474.931;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=295/9985, ttl=64;161;192.168.1.102;;-53 dBm;
2690;125.657.489.639;-51 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=295/9985, ttl=64;161;192.168.1.102;;-51 dBm;
2691;126.238.968.458;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=239/61184, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
2692;126.259.516.187;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=239/61184, ttl=64 (reply in 2693);161;;192.168.1.106;;-52 dBm
2693;126.266.984.925;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=239/61184, ttl=64 (request in 2692);172;;192.168.1.106;;-76 dBm
2694;126.268.624.217;-52 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=239/61184, ttl=64;161;;192.168.1.106;;-52 dBm
2697;126.605.973.757;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=296/10241, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
2698;126.669.460.647;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=296/10241, ttl=64 (reply in 2699);161;192.168.1.102;;-52 dBm;
2699;126.677.033.541;-76 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=296/10241, ttl=64 (request in 2698);172;192.168.1.102;;-76 dBm;
2700;126.679.086.980;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=296/10241, ttl=64;161;192.168.1.102;;-52 dBm;
2708;127.240.911.632;-62 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=240/61440, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
2709;127.389.618.808;-51 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=240/61440, ttl=64 (no response found!);161;;192.168.1.106;;-51 dBm
2710;127.389.643.850;-52 dBm;192.168.1.106;192.168.1.101;Echo (ping) request  id=0x0f91, seq=240/61440, ttl=64 (reply in 2712);161;;192.168.1.106;;-52 dBm
2712;127.398.116.307;-76 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=240/61440, ttl=64 (request in 2710);172;;192.168.1.106;;-76 dBm
2713;127.400.156.950;-53 dBm;192.168.1.101;192.168.1.106;Echo (ping) reply    id=0x0f91, seq=240/61440, ttl=64;161;;192.168.1.106;;-53 dBm
2717;127.607.121.543;-62 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=297/10497, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
2718;127.691.458.821;-52 dBm;192.168.1.102;192.168.1.101;Echo (ping) request  id=0x0b35, seq=297/10497, ttl=64 (reply in 2719);161;192.168.1.102;;-52 dBm;
2719;127.700.042.329;-76 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=297/10497, ttl=64 (request in 2718);172;192.168.1.102;;-76 dBm;
2720;127.702.369.173;-53 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=297/10497, ttl=64;161;192.168.1.102;;-53 dBm;
2721;127.702.393.471;-52 dBm;192.168.1.101;192.168.1.102;Echo (ping) reply    id=0x0b35, seq=297/10497, ttl=64;161;192.168.1.102;;-52 dBm;
